,,,,,Paper Information,,,,,,,,Population Information,,,,,,,,,,,,,Demographic Characteristics,,,,,,,Exposure history,,,,,,,,,,,Comorbidities,,,,,,,,,,,,Symptoms,,,,,,,,,,,,,,,,,,,,,,,Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatments,,,,,,,,,,,,,,,,,,Medical Outcomes,,,,,,,,,,,,,,Outcomes,,,,,,,,Outcomes (Imaging),,
ID,SUB_ID,Country,Province/State,Pop Size (N),Title,Journal,Author,Source,Language,Notes,Person Responsible,Data Request (contact person),Study start date (mm/dd/yyyy),Study end date (mm/dd/yyyy),Study length (days),Is top-level row?,Subgroup,Positive/negative cases,End-point vs Active,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age,Age 95% CI Halfwidth,Age Lower Quartile,Age Higher Quartile,% Healthcare Worker,% Male,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - Lower Quartile,Incubation period (days) -  Higher Quartile,Time From Ill (days) - Mean,Time From Ill (days) - Median,Time from Ill (days) - Lower Quartile,Time from Ill (days) - Upper Quartile,Current smoker,Current drinker,Any Comorbidity,Hypertension,Diabetes,Coronary heart disease,Cardiovascular Disease,Chronic obstructive lung,Cancer (Any),Carcinoma,Chronic kidney/renal disease,Other,Respiratory rate > 24 breaths per min,Pulse >=125 beats per min,Systolic blood pressure <90mm Hg,Fever (temperature ≥37·3°C),Average temperature (celsius),Max temperature (celsius),Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or vomiting,Loss of Appetite,Sore Throat/Stuffy Nose,Chills,Chest Pain,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,Peripheral white cell count - Median,Peripheral white cell count - Lower Quartile,Peripheral white cell count - Upper Quartile,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - SD,Hemoglobin (g/L) - Lower Quartile,Hemoglobin (g/L) - Upper Quartile,"Imaging Findings Available? (yes=1, no=0)",Hematocrit,CRE (μmol/L),Lymphocyte count - Median,Lymphocyte count - Lower Quartile,Lymphocyte count - Upper Quartile,Platelet count - Median,Platelet Count - SD,Platelet count - Lower Quartile,Platelet count - Upper Quartile,Serum bilirubin - Median,Serum bilirubin - Lower quartile,Serum bilirubin - Upper quartile,Neutrophils,ALT (U/L),AST (U/L),GGT (U/L),CRP (mg/DL),IL-6 (ng/L),D-Dimer (mg/L),Albumin (g/L),Creatinine (umol/L),BUN (mmol/L),Creatine Kinase (U/L),"PCT (Procalcitonin), ng/mL",CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Lymphocyte count <0.8 * 10^9/L,CRP ≥ 10 mg/liter,AST >40 U/l,ALT >40 U/l,Total Bilirubin >20.0 umol/L,Creatinine ≥ 84.0 umol/L,Antibiotic,Antiviral,Uses Kaletra (lop-rit),Uses Favipiravir,Uses umif+lop-rit,Uses umifenovir,Uses hydroxychloroquine and/or chloroquine,Corticosteroid,Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Glucocorticoid,Renal replacement therapy,Interferon Alpha-1b,Thymalfasin,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Hypoxemia,Heart failure,Septic shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection,Hypoproteinaemia,Acidosis,Hospital admission,ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Effective Mortality,Chest CT Improve,Chest CT Same,Chest CT Decline
1,0,China,Wuhan,191,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Lancet,Zhou et al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30566-3/fulltext,English,                    ,Agni,Cynthia,12/29/2019,1/31/2020,33,Top-level,General,Positive only,End-point only,Both,Both,Yes,Both,All,Both,56,,,46,67,,62.30%,38%,,,,,,,,11.00,8.00,14.00,5.76%,,47.60%,30%,19.00%,8.00%,,3.00%,,1.68%,1.68%,12.00%,29.00%,1.68%,0.84%,94%,,,79%,,,23.00%,15.00%,23.03%,,4.71%,4.00%,,,,,,37.70%,34.55%,27.75%,6.2,4.5,9.5,128.0,,119.0,140.0,,,,1.00,0.60,1.30,206.00,,155.00,262.00,,,,,30.00,,,,7.40,,,,,,,,,,,,,,,94.76%,21.47%,,,,,,29.84%,24.08%,,21.47%,13.61%,16.75%,1.57%,,5.24%,,,58.64%,,53.93%,30.89%,,23.04%,19.90%,,19.37%,17.28%,14.66%,14.66%,11.52%,8.90%,,26.18%,71.73%,8.00,11.00,,28.27%,28.27%,,,
1,1,China,Wuhan,54,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Lancet,Zhou et al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30566-3/fulltext,English,Non-survivors,Agni,,12/29/2019,1/31/2020,33,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,Both,Severe/Critical Only,Both,69,,,63,76,,70.37%,25.93%,,,,,,,,11.00,8.00,15.00,9.26%,,66.67%,48.15%,31.48%,24.07%,,7.41%,,0.00%,3.70%,20.37%,62.96%,3.70%,0.00%,94.44%,,,72.22%,,,25.93%,14.81%,27.78%,,3.70%,5.56%,,,,,,0.00%,22.22%,77.78%,9.8,6.9,13.9,126.0,,115.0,138.0,,,,0.60,0.50,0.80,165.50,,107.00,229.00,,,,,40.00,,,,11.00,,,,,,,,,,,,,,,98.15%,22.22%,,,,,,48.15%,66.67%,,61.11%,44.44%,57.41%,5.56%,,18.52%,,,100%,,98.15%,92.59%,,51.85%,70.37%,,50.00%,59.26%,50.00%,50.00%,37.04%,29.63%,,72.22%,0%,8,7.5,,100.00%,100.00%,,,
1,2,China,Wuhan,137,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Lancet,Zhou et al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30566-3/fulltext,English,Survivors,Agni,,12/29/2019,1/31/2020,33,Subgroup,Survivors,Positive only,End-point only,Survivors only,Discharged only,Yes,Both,All,Both,52,,,45,58,,59.12%,43.07%,,,,,,,,11,8,13,4.38%,,40.15%,23.36%,13.87%,1.46%,,1.46%,,7.00%,0.00%,8.03%,16.06%,0.00%,0.73%,94.16%,,,81.75%,,,21.90%,15.33%,21.17%,,5.11%,2.92%,,,,,,52.55%,39.42%,8.03%,5.2,4.3,7.7,128.0,,120.0,140.0,,,,1.10,0.80,1.50,220.00,,168.00,271.00,,,,,27.00,,,,6.30,,,,,,,,,,,,,,,93.43%,21.17%,,,,,,22.63%,7.30%,,5.84%,1.46%,0.73%,0.00%,,0.00%,,,42.34%,,36.50%,6.57%,,11.68%,0.00%,,7.30%,0.73%,0.73%,0.73%,1.46%,0.73%,,8.03%,100%,7,12,,0.00%,0.00%,,,
2,0,China,Wuhan,199,A Trial of Lopinavir–Ritonavir in Adults Hospitalized with Severe Covid-19,NEJM,Cao et. al.,https://www.nejm.org/doi/full/10.1056/NEJMoa2001282?query=featured_coronavirus,English,,Arthur,,1/18/2020,2/3/2020,16,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,58,,,49,68,,60.30%,,,,,,,,,13,11,16,,,,,11.60%,,,,3.00%,,,,18.80%,,1%,91.50%,36.5,,,,,,,,,2.06%,4.25%,1%,,,,,,,,7,5.1,9.4,,,,,,,,0.9,0.6,1.2,207,,158,284,,,,,33,34,,,,,,,,,,,,,,,,,,95%,,,,,,,,,,,14.60%,16.10%,2%,33.70%,4.50%,,,,,,,,,,,,,,,,,,,na,10,15,,16.10%,,,,
2,1,China,Wuhan,99,A Trial of Lopinavir–Ritonavir in Adults Hospitalized with Severe Covid-19,NEJM,Cao et. al.,https://www.nejm.org/doi/full/10.1056/NEJMoa2001282?query=featured_coronavirus,English,With treatment (Lopinavir - Ritonavir),Arthur,Cynthia,1/18/2020,2/3/2020,16,Subgroup,With treatment,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,58,,,50,68,,61.60%,,,,,,,,,13,11,17,,,,,10.10%,,,,5.10%,,,,21.60%,,2%,89.90%,36.5,,,,,,,,,4.20%,9.50%,2.10%,,,,,,,,7.3,5.3,9.6,,,,,,,,0.8,0.6,1.4,201,,155,287,,,,,33,33,,,,,,,,,,,,,,,,,,94.90%,,94.90%,,,,,,,,,10.10%,14.10%,2%,32.30%,3.00%,,,0%,12.60%,,,,0%,2.10%,,,,3.20%,1.10%,,,,,na,6,14,,15.20%,,,,
2,2,China,Wuhan,100,A Trial of Lopinavir–Ritonavir in Adults Hospitalized with Severe Covid-19,NEJM,Cao et. al.,https://www.nejm.org/doi/full/10.1056/NEJMoa2001282?query=featured_coronavirus,English,Control,Arthur,,1/18/2020,2/3/2020,16,Subgroup,Control,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,58,,,48,68,,59.00%,,,,,,,,,13,10,16,,,,,13.00%,,,,1.00%,,,,16.00%,,0%,93.00%,36.5,,,,,,,,,0%,0%,0%,,,,,,,,6.9,4.9,9.1,,,,,,,,0.9,0.5,1.2,210,,163,269.5,,,,,34,34,,,,,,,,,,,,,,,,,,95%,,,,,,,,,,,19.10%,18.00%,2%,35.00%,6.00%,,,1%,27.30%,,,,1%,2.00%,,,,6.10%,6.10%,,,,,na,11,16,,17.00%,,,,
3,0,China,Wuhan,81,"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",Lancet Infectious Diseases,Shi et. al.,https://reader.elsevier.com/reader/sd/pii/S1473309920300864?token=A0D8E0A815A81A197FBA5FBC028C41D29B7899BFA37779DD83AA14652314A5C8D415DCB92CEEC6704387954EBD8E0864,English,"Mostly care about CT scans and their features, seems sort of unique",Arthur,,12/20/2019,2/8/2020,50,Top-level,General,Positive only,End-point and active,Both,Both,No,Both,All,Both,50,49.5,11,,,,52%,38%,38%,,,,,,,,,,,,26%,15%,12%,10%,,11%,5%,,4%,16%,,,,73%,37.93,37.93,59%,42%,6%,19%,9%,9%,,4%,5%,1%,,,,18.51%,,,,8.1,4.7,11.5,123.9,,111.9,135.9,1,,,1.1,0.8,1.4,212.2,,112.5,311.9,11.9,8.3,15.5,,46.2,40.8,,47.6,,,,,,,,,,26.40%,,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77%,,12.2,,3.70%,4.58%,,,
3,1,China,Wuhan,15,"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",Lancet Infectious Diseases,Shi et. al.,https://reader.elsevier.com/reader/sd/pii/S1473309920300864?token=A0D8E0A815A81A197FBA5FBC028C41D29B7899BFA37779DD83AA14652314A5C8D415DCB92CEEC6704387954EBD8E0864,English,Subgroup 1,Ryan,,12/20/2019,2/8/2020,50,Subgroup,Subclinical,Positive only,End-point and active,Both,Both,No,Both,All,Both,,44.9,9,,,,27.00%,0.00%,0.00%,,,,,,,,,,,,27.00%,13%,20%,20%,,7%,7%,,0%,7%,,,,0.00%,,36.6,0.00%,0.00%,0.00%,0.00%,0.00%,0%,,0%,0.00%,0%,,,,100%,0%,0%,0%,8,5.5,10.5,125.1,,111.6,138.6,1,,,1.1,0.8,1.4,202.9,,135.5,270.3,9.2,8.6,9.8,,30.8,30.2,,6.9,,,,,,,,,,16%,,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,
3,2,China,Wuhan,21,"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",Lancet Infectious Diseases,Shi et. al.,https://reader.elsevier.com/reader/sd/pii/S1473309920300864?token=A0D8E0A815A81A197FBA5FBC028C41D29B7899BFA37779DD83AA14652314A5C8D415DCB92CEEC6704387954EBD8E0864,English,Subgroup 2,Ryan,,12/20/2019,2/8/2020,50,Subgroup,Scans done <= 1 week after symptom onset,Positive only,End-point and active,Both,Both,No,Both,All,Both,,48.8,13,,,,52.00%,38.00%,38.00%,,,,,,,,,,,,24.00%,5%,10%,5%,,14%,5%,,0%,15%,,,,86.00%,,38.1,71.00%,43.00%,10.00%,14.00%,5.00%,9%,,5.00%,10.00%,5%,,,,0%,,,,7.8,4.2,11.4,126.7,,113.3,140.1,1,,,1,0.7,1.3,213.5,,112.7,314.3,14.1,9.8,18.4,,50.6,47.7,,61.4,,,,,,,,,,34.40%,,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,
