"State","Date","Shortage","Supply","Demand","Param1","Param2","Param3"
"Wyoming",2020-04-07,-47,48,1,0.2,0,0.5
"Wisconsin",2020-04-07,-229.5,368.5,139,0.2,0,0.5
"West Virginia",2020-04-07,-206,219,13,0.2,0,0.5
"Washington",2020-04-07,-305.5,466.5,161,0.2,0,0.5
"Virginia",2020-04-07,-392.5,569.5,177,0.2,0,0.5
"Vermont",2020-04-07,-27,36,9,0.2,0,0.5
"Utah",2020-04-07,-213.5,233.5,20,0.2,0,0.5
"Texas",2020-04-07,-2850.5,3124.5,274,0.2,0,0.5
"Tennessee",2020-04-07,-623,762,139,0.2,0,0.5
"South Dakota",2020-04-07,-61,64,3,0.2,0,0.5
"South Carolina",2020-04-07,-362,422,60,0.2,0,0.5
"Rhode Island",2020-04-07,-39.5,98.5,59,0.2,0,0.5
"Pennsylvania",2020-04-07,-1119.5,1346.5,227,0.2,0,0.5
"Oregon",2020-04-07,-253,277,24,0.2,0,0.5
"Oklahoma",2020-04-07,-205.5,313.5,108,0.2,0,0.5
"Ohio",2020-04-07,-1013.5,1230.5,217,0.2,0,0.5
"North Dakota",2020-04-07,-10,102,92,0.2,0,0.5
"North Carolina",2020-04-07,-677,816,139,0.2,0,0.5
"New York",2020-04-07,3332,2262,5594,0.2,0,0.5
"New Mexico",2020-04-07,-117.5,186.5,69,0.2,0,0.5
"New Jersey",2020-04-07,1925,751,2676,0.2,0,0.5
"New Hampshire",2020-04-07,-84,90,6,0.2,0,0.5
"Nevada",2020-04-07,-188.5,371.5,183,0.2,0,0.5
"Nebraska",2020-04-07,-168,202,34,0.2,0,0.5
"Montana",2020-04-07,-64.5,69.5,5,0.2,0,0.5
"Missouri",2020-04-07,-541.5,589.5,48,0.2,0,0.5
"Mississippi",2020-04-07,-259.5,309.5,50,0.2,0,0.5
"Minnesota",2020-04-07,-269,344,75,0.2,0,0.5
"Michigan",2020-04-07,427,933,1360,0.2,0,0.5
"Massachusetts",2020-04-07,308,741,1049,0.2,0,0.5
"Maryland",2020-04-07,-163,499,336,0.2,0,0.5
"Maine",2020-04-07,-57.5,86.5,29,0.2,0,0.5
"Louisiana",2020-04-07,-327.5,568.5,241,0.2,0,0.5
"Kentucky",2020-04-07,-262.5,390.5,128,0.2,0,0.5
"Kansas",2020-04-07,-170.5,210.5,40,0.2,0,0.5
"Iowa",2020-04-07,-188.5,225.5,37,0.2,0,0.5
"Indiana",2020-04-07,-349,711,362,0.2,0,0.5
"Illinois",2020-04-07,-194,1141,947,0.2,0,0.5
"Idaho",2020-04-07,-70.5,89.5,19,0.2,0,0.5
"Hawaii",2020-04-07,-55.5,102.5,47,0.2,0,0.5
"Georgia",2020-04-07,-455,947,492,0.2,0,0.5
"Florida",2020-04-07,-1346,1989,643,0.2,0,0.5
"Delaware",2020-04-07,-66.5,87.5,21,0.2,0,0.5
"Connecticut",2020-04-07,205,343,548,0.2,0,0.5
"Colorado",2020-04-07,-300.5,418.5,118,0.2,0,0.5
"California",2020-04-07,-2297,2795,498,0.2,0,0.5
"Arkansas",2020-04-07,-229.5,263.5,34,0.2,0,0.5
"Arizona",2020-04-07,-519.5,596.5,77,0.2,0,0.5
"Alaska",2020-04-07,46.5,53.5,100,0.2,0,0.5
"Alabama",2020-04-07,-213,377,164,0.2,0,0.5
"Wyoming",2020-04-08,-46,48,2,0.2,0,0.5
"Wisconsin",2020-04-08,-215.5,368.5,153,0.2,0,0.5
"West Virginia",2020-04-08,-201,219,18,0.2,0,0.5
"Washington",2020-04-08,-306.5,466.5,160,0.2,0,0.5
"Virginia",2020-04-08,-367.5,569.5,202,0.2,0,0.5
"Vermont",2020-04-08,-27,36,9,0.2,0,0.5
"Utah",2020-04-08,-210.5,233.5,23,0.2,0,0.5
"Texas",2020-04-08,-2817.5,3124.5,307,0.2,0,0.5
"Tennessee",2020-04-08,-611,762,151,0.2,0,0.5
"South Dakota",2020-04-08,-60,64,4,0.2,0,0.5
"South Carolina",2020-04-08,-358,422,64,0.2,0,0.5
"Rhode Island",2020-04-08,-33.5,98.5,65,0.2,0,0.5
"Pennsylvania",2020-04-08,-976.5,1215.5,239,0.2,0,0.5
"Oregon",2020-04-08,-251,277,26,0.2,0,0.5
"Oklahoma",2020-04-08,-195.5,313.5,118,0.2,0,0.5
"Ohio",2020-04-08,-1007.5,1230.5,223,0.2,0,0.5
"North Dakota",2020-04-08,-4,102,98,0.2,0,0.5
"North Carolina",2020-04-08,-660,816,156,0.2,0,0.5
"New York",2020-04-08,3402,2262,5664,0.2,0,0.5
"New Mexico",2020-04-08,-68.5,149.5,81,0.2,0,0.5
"New Jersey",2020-04-08,2213,751,2964,0.2,0,0.5
"New Hampshire",2020-04-08,-83,90,7,0.2,0,0.5
"Nevada",2020-04-08,-162.5,371.5,209,0.2,0,0.5
"Nebraska",2020-04-08,-163,202,39,0.2,0,0.5
"Montana",2020-04-08,-63.5,69.5,6,0.2,0,0.5
"Missouri",2020-04-08,-536.5,589.5,53,0.2,0,0.5
"Mississippi",2020-04-08,-257.5,309.5,52,0.2,0,0.5
"Minnesota",2020-04-08,-260,344,84,0.2,0,0.5
"Michigan",2020-04-08,471,933,1404,0.2,0,0.5
"Massachusetts",2020-04-08,449,741,1190,0.2,0,0.5
"Maryland",2020-04-08,-97,499,402,0.2,0,0.5
"Maine",2020-04-08,-55.5,86.5,31,0.2,0,0.5
"Louisiana",2020-04-08,-345.5,568.5,223,0.2,0,0.5
"Kentucky",2020-04-08,-241.5,390.5,149,0.2,0,0.5
"Kansas",2020-04-08,-166.5,210.5,44,0.2,0,0.5
"Iowa",2020-04-08,-183.5,225.5,42,0.2,0,0.5
"Indiana",2020-04-08,-308,711,403,0.2,0,0.5
"Illinois",2020-04-08,-102,1141,1039,0.2,0,0.5
"Idaho",2020-04-08,-68.5,89.5,21,0.2,0,0.5
"Hawaii",2020-04-08,-44.5,102.5,58,0.2,0,0.5
"Georgia",2020-04-08,-395,947,552,0.2,0,0.5
"Florida",2020-04-08,-1263,1989,726,0.2,0,0.5
"Delaware",2020-04-08,-67.5,87.5,20,0.2,0,0.5
"Connecticut",2020-04-08,277,343,620,0.2,0,0.5
"Colorado",2020-04-08,-300.5,418.5,118,0.2,0,0.5
"California",2020-04-08,-2263,2795,532,0.2,0,0.5
"Arkansas",2020-04-08,-226.5,263.5,37,0.2,0,0.5
"Arizona",2020-04-08,-512.5,596.5,84,0.2,0,0.5
"Alaska",2020-04-08,50.5,53.5,104,0.2,0,0.5
"Alabama",2020-04-08,-196,377,181,0.2,0,0.5
"Wyoming",2020-04-09,-45,48,3,0.2,0,0.5
"Wisconsin",2020-04-09,-188.5,355.5,167,0.2,0,0.5
"West Virginia",2020-04-09,-185,212,27,0.2,0,0.5
"Washington",2020-04-09,-220.5,378.5,158,0.2,0,0.5
"Virginia",2020-04-09,-341.5,569.5,228,0.2,0,0.5
"Vermont",2020-04-09,-27,36,9,0.2,0,0.5
"Utah",2020-04-09,-208.5,233.5,25,0.2,0,0.5
"Texas",2020-04-09,-2158.5,2499.5,341,0.2,0,0.5
"Tennessee",2020-04-09,-490,652,162,0.2,0,0.5
"South Dakota",2020-04-09,-59,64,5,0.2,0,0.5
"South Carolina",2020-04-09,-353,422,69,0.2,0,0.5
"Rhode Island",2020-04-09,-25.5,98.5,73,0.2,0,0.5
"Pennsylvania",2020-04-09,-965.5,1214.5,249,0.2,0,0.5
"Oregon",2020-04-09,-193,221,28,0.2,0,0.5
"Oklahoma",2020-04-09,-184.5,313.5,129,0.2,0,0.5
"Ohio",2020-04-09,-879.5,1107.5,228,0.2,0,0.5
"North Dakota",2020-04-09,1,102,103,0.2,0,0.5
"North Carolina",2020-04-09,-611,784,173,0.2,0,0.5
"New York",2020-04-09,3440,2262,5702,0.2,0,0.5
"New Mexico",2020-04-09,-56.5,149.5,93,0.2,0,0.5
"New Jersey",2020-04-09,2444,751,3195,0.2,0,0.5
"New Hampshire",2020-04-09,-77,85,8,0.2,0,0.5
"Nevada",2020-04-09,-139.5,370.5,231,0.2,0,0.5
"Nebraska",2020-04-09,-152,197,45,0.2,0,0.5
"Montana",2020-04-09,-62.5,68.5,6,0.2,0,0.5
"Missouri",2020-04-09,-533.5,589.5,56,0.2,0,0.5
"Mississippi",2020-04-09,-253.5,308.5,55,0.2,0,0.5
"Minnesota",2020-04-09,-252,344,92,0.2,0,0.5
"Michigan",2020-04-09,487,933,1420,0.2,0,0.5
"Massachusetts",2020-04-09,628,741,1369,0.2,0,0.5
"Maryland",2020-04-09,-26,499,473,0.2,0,0.5
"Maine",2020-04-09,-52.5,86.5,34,0.2,0,0.5
"Louisiana",2020-04-09,-246.5,454.5,208,0.2,0,0.5
"Kentucky",2020-04-09,-216.5,390.5,174,0.2,0,0.5
"Kansas",2020-04-09,-162.5,210.5,48,0.2,0,0.5
"Iowa",2020-04-09,-179.5,225.5,46,0.2,0,0.5
"Indiana",2020-04-09,-257,711,454,0.2,0,0.5
"Illinois",2020-04-09,2,1141,1143,0.2,0,0.5
"Idaho",2020-04-09,-60.5,82.5,22,0.2,0,0.5
"Hawaii",2020-04-09,-31.5,100.5,69,0.2,0,0.5
"Georgia",2020-04-09,-337,947,610,0.2,0,0.5
"Florida",2020-04-09,-1116,1968,852,0.2,0,0.5
"Delaware",2020-04-09,-66.5,86.5,20,0.2,0,0.5
"Connecticut",2020-04-09,368,343,711,0.2,0,0.5
"Colorado",2020-04-09,-305.5,418.5,113,0.2,0,0.5
"California",2020-04-09,-2232,2795,563,0.2,0,0.5
"Arkansas",2020-04-09,-222.5,262.5,40,0.2,0,0.5
"Arizona",2020-04-09,-506.5,596.5,90,0.2,0,0.5
"Alaska",2020-04-09,52.5,53.5,106,0.2,0,0.5
"Alabama",2020-04-09,-178,377,199,0.2,0,0.5
"Wyoming",2020-04-10,-44,48,4,0.2,0,0.5
"Wisconsin",2020-04-10,-169.5,355.5,186,0.2,0,0.5
"West Virginia",2020-04-10,-174,212,38,0.2,0,0.5
"Washington",2020-04-10,-222,378,156,0.2,0,0.5
