"State","Date","Shortage","Supply","Demand","Param1","Param2","Param3"
"Alabama",2020-04-09,0,472,50,0.2,0,0.5
"Alaska",2020-04-09,0,53.5,5,0.2,0,0.5
"Arizona",2020-04-09,0,745.5,65,0.2,0,0.5
"Arkansas",2020-04-09,0,327.5,17,0.2,0,0.5
"California",2020-04-09,0,3494,452,0.2,0,0.5
"Colorado",2020-04-09,0,522.5,128,0.2,0,0.5
"Connecticut",2020-04-09,0,336,220,0.2,0,0.5
"Delaware",2020-04-09,0,86.5,23,0.2,0,0.5
"Florida",2020-04-09,0,2460,422,0.2,0,0.5
"Georgia",2020-04-09,0,1147,229,0.2,0,0.5
"Hawaii",2020-04-09,0,125.5,10,0.2,0,0.5
"Idaho",2020-04-09,0,103.5,41,0.2,0,0.5
"Illinois",2020-04-09,0,1141,352,0.2,0,0.5
"Indiana",2020-04-09,0,658,165,0.2,0,0.5
"Iowa",2020-04-09,0,280.5,25,0.2,0,0.5
"Kansas",2020-04-09,0,262.5,20,0.2,0,0.5
"Kentucky",2020-04-09,0,390.5,27,0.2,0,0.5
"Louisiana",2020-04-09,0,568.5,503,0.2,0,0.5
"Maine",2020-04-09,0,86.5,12,0.2,0,0.5
"Maryland",2020-04-09,0,399,125,0.2,0,0.5
"Massachusetts",2020-04-09,0,592,393,0.2,0,0.5
"Michigan",2020-04-09,0,746,527,0.2,0,0.5
"Minnesota",2020-04-09,0,431,19,0.2,0,0.5
"Mississippi",2020-04-09,0,337.5,46,0.2,0,0.5
"Missouri",2020-04-09,0,736.5,88,0.2,0,0.5
"Montana",2020-04-09,0,85.5,8,0.2,0,0.5
"Nebraska",2020-04-09,0,247,12,0.2,0,0.5
"Nevada",2020-04-09,0,429.5,49,0.2,0,0.5
"New Hampshire",2020-04-09,0,85,19,0.2,0,0.5
"New Jersey",2020-04-09,542,751,1293,0.2,0,0.5
"New Mexico",2020-04-09,0,186.5,17,0.2,0,0.5
"New York",2020-04-09,1041,2262,3303,0.2,0,0.5
"North Carolina",2020-04-09,0,784,84,0.2,0,0.5
"North Dakota",2020-04-09,0,102,7,0.2,0,0.5
"Ohio",2020-04-09,0,1106.5,122,0.2,0,0.5
"Oklahoma",2020-04-09,0,390.5,39,0.2,0,0.5
"Oregon",2020-04-09,0,277,26,0.2,0,0.5
"Pennsylvania",2020-04-09,0,1214.5,474,0.2,0,0.5
"Rhode Island",2020-04-09,0,78.5,31,0.2,0,0.5
"South Carolina",2020-04-09,0,422,70,0.2,0,0.5
"South Dakota",2020-04-09,0,81,10,0.2,0,0.5
"Tennessee",2020-04-09,0,816,105,0.2,0,0.5
"Texas",2020-04-09,0,3124.5,242,0.2,0,0.5
"Utah",2020-04-09,0,291.5,46,0.2,0,0.5
"Vermont",2020-04-09,0,36,11,0.2,0,0.5
"Virginia",2020-04-09,0,569.5,91,0.2,0,0.5
"Washington",2020-04-09,0,473.5,144,0.2,0,0.5
"West Virginia",2020-04-09,0,212,11,0.2,0,0.5
"Wisconsin",2020-04-09,0,442.5,59,0.2,0,0.5
"Wyoming",2020-04-09,0,60,6,0.2,0,0.5
"Alabama",2020-04-10,0,472,51,0.2,0,0.5
"Alaska",2020-04-10,0,53.5,5,0.2,0,0.5
"Arizona",2020-04-10,0,745.5,67,0.2,0,0.5
"Arkansas",2020-04-10,0,327.5,17,0.2,0,0.5
"California",2020-04-10,0,3494,473,0.2,0,0.5
"Colorado",2020-04-10,0,522.5,131,0.2,0,0.5
"Connecticut",2020-04-10,0,336,236,0.2,0,0.5
"Delaware",2020-04-10,0,86.5,24,0.2,0,0.5
"Florida",2020-04-10,0,2460,447,0.2,0,0.5
"Georgia",2020-04-10,0,1147,240,0.2,0,0.5
"Hawaii",2020-04-10,0,125.5,10,0.2,0,0.5
"Idaho",2020-04-10,0,103.5,43,0.2,0,0.5
"Illinois",2020-04-10,0,1141,368,0.2,0,0.5
"Indiana",2020-04-10,0,658,177,0.2,0,0.5
"Iowa",2020-04-10,0,280.5,26,0.2,0,0.5
"Kansas",2020-04-10,0,262.5,20,0.2,0,0.5
"Kentucky",2020-04-10,0,390.5,27,0.2,0,0.5
"Louisiana",2020-04-10,0,568.5,543,0.2,0,0.5
"Maine",2020-04-10,0,86.5,13,0.2,0,0.5
"Maryland",2020-04-10,0,399,133,0.2,0,0.5
"Massachusetts",2020-04-10,0,592,407,0.2,0,0.5
"Michigan",2020-04-10,0,746,558,0.2,0,0.5
"Minnesota",2020-04-10,0,431,19,0.2,0,0.5
"Mississippi",2020-04-10,0,337.5,48,0.2,0,0.5
"Missouri",2020-04-10,0,736.5,94,0.2,0,0.5
"Montana",2020-04-10,0,85.5,8,0.2,0,0.5
"Nebraska",2020-04-10,0,247,12,0.2,0,0.5
"Nevada",2020-04-10,0,429.5,50,0.2,0,0.5
"New Hampshire",2020-04-10,0,85,20,0.2,0,0.5
"New Jersey",2020-04-10,630,751,1381,0.2,0,0.5
"New Mexico",2020-04-10,0,186.5,18,0.2,0,0.5
"New York",2020-04-10,1142,2262,3404,0.2,0,0.5
"North Carolina",2020-04-10,0,784,88,0.2,0,0.5
"North Dakota",2020-04-10,0,102,8,0.2,0,0.5
"Ohio",2020-04-10,0,1106.5,127,0.2,0,0.5
"Oklahoma",2020-04-10,0,390.5,41,0.2,0,0.5
"Oregon",2020-04-10,0,277,27,0.2,0,0.5
"Pennsylvania",2020-04-10,0,1214.5,520,0.2,0,0.5
"Rhode Island",2020-04-10,0,78.5,32,0.2,0,0.5
"South Carolina",2020-04-10,0,422,76,0.2,0,0.5
"South Dakota",2020-04-10,0,81,10,0.2,0,0.5
"Tennessee",2020-04-10,0,816,110,0.2,0,0.5
"Texas",2020-04-10,0,3124.5,258,0.2,0,0.5
"Utah",2020-04-10,0,291.5,48,0.2,0,0.5
"Vermont",2020-04-10,0,36,11,0.2,0,0.5
"Virginia",2020-04-10,0,569.5,96,0.2,0,0.5
"Washington",2020-04-10,0,473.5,143,0.2,0,0.5
"West Virginia",2020-04-10,0,212,12,0.2,0,0.5
"Wisconsin",2020-04-10,0,442.5,60,0.2,0,0.5
"Wyoming",2020-04-10,0,60,6,0.2,0,0.5
"Alabama",2020-04-11,0,472,52,0.2,0,0.5
"Alaska",2020-04-11,0,53.5,5,0.2,0,0.5
"Arizona",2020-04-11,0,745.5,68,0.2,0,0.5
"Arkansas",2020-04-11,0,327.5,17,0.2,0,0.5
"California",2020-04-11,0,3494,493,0.2,0,0.5
"Colorado",2020-04-11,0,522.5,133,0.2,0,0.5
"Connecticut",2020-04-11,0,336,251,0.2,0,0.5
"Delaware",2020-04-11,0,86.5,25,0.2,0,0.5
"Florida",2020-04-11,0,2460,471,0.2,0,0.5
