ID,SUB_ID,Country,Province/State,Study Pop Size (N),Proportion of values entered in row (%),Paper Title,Journal,Author,Source,Language,Peer-Reviewed? (As of 2 April 2020),Study Type: Observational or Randomized Clinical Trial (RCT)?,Study start date (mm/dd/yyyy),Study end date (mm/dd/yyyy),Study length (days),Overall study population or subgroup?,Subgroup,Positive/negative cases,End-point vs Active,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age,Age SD,Age LQ,Age UQ,% Healthcare Worker,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - LQ,Incubation period (days) -  Higher Quartile,Time From Symptoms Appearance to Hospitalization (days) - Mean,Time From Symptoms Appearance to Hospitalization (days) - Median,Time From Symptoms Appearance to Hospitalization (days) - LQ,Time From Symptoms Appearance to Hospitalization (days) - UQ,Smoking history,Current drinker,BMI,Obesity,Any Comorbidity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Average temperature (celsius),Max temperature (celsius),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,"Imaging Findings Available? (yes=1, no=0)",White Blood Cell Count (10^9/L) - Median,White Blood Cell Count (10^9/L) - LQ,White Blood Cell Count (10^9/L) - UQ,Lymphocyte Count (10^9/L) - Median,Lymphocyte Count (10^9/L) - LQ,Lymphocyte Count (10^9/L) - UQ,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Platelet Count (10^9/L) - Median,Platelet Count (10^9/L) - LQ,Platelet Count (10^9/L) - UQ,Neutrophil Count (10^9/L) - Median,Neutrophil Count (10^9/L) - LQ,Neutrophil Count (10^9/L) - UQ,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - LQ,Hemoglobin (g/L) - UQ,Hematocrit (%),Albumin (g/L),Alanine Aminotransferase (U/L),Aspartate Aminotransferase (U/L),Total Bilirubin (umol/L) - Median,Total Bilirubin (umol/L) - LQ,Total Bilirubin (umol/L) - UQ,Blood Urea Nitrogen (mmol/L),Creatinine (μmol/L),Creatine Kinase (U/L),C-Reactive Protein (mg/L),Gamma-Glutamyl Transferase (U/L),Interleukin-6 (pg/mL),Procalcitonin (ng/mL),D-Dimer (mg/L),Prothrombin Time (s),Antibiotic,Antiviral (Any),Uses Kaletra (lopinavir–ritonavir),Uses Favipiravir,Uses Tamiflu (oseltamivir),Uses Remdesivir,Uses umif+lop-rit,Uses Arbidol (umifenovir),Uses hydroxychloroquine and/or chloroquine,"Corticosteroid (including Glucocorticoid, Methylprednisolone)",Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Renal replacement therapy,Interferon Alpha-1b,Thymalfasin and/or Thymosin,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Hypoxemia,Heart failure,Septic shock / shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection/ Bacterial infection,Hypoproteinaemia,Acidosis,Hospital admission (%),ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Projected Mortality (accounting for patients not currently discharged)
1,0,China,Wuhan,191,60.11%,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Lancet,Zhou et al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30566-3/fulltext,English,Yes,Observational,12/29/19,1/31/20,33,Top-level,General,Positive only,End-point only,Both,Both,Yes,Both,All,Both,56,,,46,67,,62.30%,0%,0%,100%,0%,0%,38%,,,,,,,,11,8,14,5.76%,,,,47.60%,30%,19.00%,8.00%,3.00%,1.68%,,,1.68%,12.00%,94%,,,29.00%,79%,,,23.00%,15.00%,23.03%,,4.71%,4.00%,,,,,,,37.70%,34.55%,27.75%,,6.2,4.5,9.5,1,0.6,1.3,,,206,155,262,,,,128,119,140,,32.3,30,,,,,,,21.5,,,7.4,0.1,0.8,11.6,94.76%,21.47%,21.47%,0.00%,0.00%,,0.00%,0.00%,0.00%,29.84%,24.08%,,21.47%,,13.61%,16.75%,1.57%,5.24%,0.00%,,58.64%,,53.93%,30.89%,,23.04%,19.90%,,19.37%,17.28%,14.66%,14.66%,11.52%,8.90%,1,0.26,0.72,8,11,20,0.28,0.28
1,1,China,Wuhan,54,60.11%,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Lancet,Zhou et al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30566-3/fulltext,English,Yes,Observational,12/29/19,1/31/20,33,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,Discharged only,Yes,Both,Severe/Critical Only,Both,69,,,63,76,,70.37%,0%,0%,100%,0%,0%,25.93%,,,,,,,,11,8,15,9.26%,,,,66.67%,48.15%,31.48%,24.07%,7.41%,0.00%,,,3.70%,20.37%,94.44%,,,62.96%,72.22%,,,25.93%,14.81%,27.78%,,3.70%,5.56%,,,,,,,0.00%,22.22%,77.78%,,9.8,6.9,13.9,0.6,0.5,0.8,,,165.5,107,229,,,,126,115,138,,29.1,40,,,,,,,39,,,11,0.1,5.2,12.1,98.15%,22.22%,22.22%,0.00%,0.00%,,0.00%,0.00%,0.00%,48.15%,66.67%,,61.11%,,44.44%,57.41%,5.56%,18.52%,0.00%,,100%,,98.15%,92.59%,,51.85%,70.37%,,50.00%,59.26%,50.00%,50.00%,37.04%,29.63%,1,0.72,0,8,7.5,7.5,1,1
1,2,China,Wuhan,137,60.11%,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Lancet,Zhou et al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30566-3/fulltext,English,Yes,Observational,12/29/19,1/31/20,33,Subgroup,Survivors,Positive only,End-point only,Survivors only,Discharged only,Yes,Both,All,Both,52,,,45,58,,59.12%,0%,0%,100%,0%,0%,43.07%,,,,,,,,11,8,13,4.38%,,,,40.15%,23.36%,13.87%,1.46%,1.46%,7.00%,,,0.00%,8.03%,94.16%,,,16.06%,81.75%,,,21.90%,15.33%,21.17%,,5.11%,2.92%,,,,,,,52.55%,39.42%,8.03%,,5.2,4.3,7.7,1.1,0.8,1.5,,,220,168,271,,,,128,120,140,,33.6,27,,,,,,,18,,,6.3,0.1,0.6,11.4,93.43%,21.17%,21.27%,0.00%,0.00%,,0.00%,0.00%,0.00%,22.63%,7.30%,,5.84%,,1.46%,0.73%,0.00%,0.00%,0.00%,,42.34%,,36.50%,6.57%,,11.68%,0.00%,,7.30%,0.73%,0.73%,0.73%,1.46%,0.73%,1,0.08,1,7,12,20,0,0
2,0,China,Wuhan,199,44.94%,A Trial of Lopinavir–Ritonavir in Adults Hospitalized with Severe Covid-19,NEJM,Cao et. al.,https://www.nejm.org/doi/full/10.1056/NEJMoa2001282?query=featured_coronavirus,English,Yes,RCT,1/18/20,2/3/20,16,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,58,,,49,68,,60.30%,0%,0%,100%,0%,0%,,,,,,,,,13,11,16,,,,,,,11.60%,,,3.00%,,6.50%,,,91.50%,36.5,,18.80%,,,,,,,,2.06%,4.25%,1%,,,,,,,,,,7,5.1,9.4,0.9,0.6,1.2,,,207,158,284,,,,,,,,,33,34,,,,,69.5,69,,,,,,,95%,47%,47%,0%,0%,,0%,0%,0%,33.70%,,,,,14.60%,16.10%,2%,4.50%,,,0.49%,20.10%,,,,0.51%,2.05%,,,,4.68%,3.65%,,,1,,0.72,10,15,28,0.16,0.18
2,1,China,Wuhan,99,44.94%,A Trial of Lopinavir–Ritonavir in Adults Hospitalized with Severe Covid-19,NEJM,Cao et. al.,https://www.nejm.org/doi/full/10.1056/NEJMoa2001282?query=featured_coronavirus,English,Yes,RCT,1/18/20,2/3/20,16,Subgroup,With treatment,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,58,,,50,68,,61.60%,0%,0%,100%,0%,0%,,,,,,,,,13,11,17,,,,,,,10.10%,,,5.10%,,5.10%,,,89.90%,36.5,,21.60%,,,,,,,,4.20%,9.50%,2.10%,,,,,,,,,,7.3,5.3,9.6,0.8,0.6,1.4,,,201,155,287,,,,,,,,,33,33,,,,,70.7,57,,,,,,,94.90%,94.90%,94.90%,0%,0%,,0%,0%,0%,32.30%,,,,,10.10%,14.10%,2%,3.00%,,,0%,12.60%,,,,0%,2.10%,,,,3.20%,1.10%,,,1,,0.75,6,14,28,0.15,0.17
2,2,China,Wuhan,100,44.94%,A Trial of Lopinavir–Ritonavir in Adults Hospitalized with Severe Covid-19,NEJM,Cao et. al.,https://www.nejm.org/doi/full/10.1056/NEJMoa2001282?query=featured_coronavirus,English,Yes,RCT,1/18/20,2/3/20,16,Subgroup,Control,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,58,,,48,68,,59.00%,0%,0%,100%,0%,0%,,,,,,,,,13,10,16,,,,,,,13.00%,,,1.00%,,8.00%,,,93.00%,36.5,,16.00%,,,,,,,,0%,0%,0%,,,,,,,,,,6.9,4.9,9.1,0.9,0.5,1.2,,,210,163,269.5,,,,,,,,,34,34,,,,,67.4,72,,,,,,,95%,0%,0%,0%,0%,,0%,0%,0%,35.00%,,,,,19.10%,18.00%,2%,6.00%,,,1%,27.30%,,,,1%,2.00%,,,,6.10%,6.10%,,,1,,0.7,11,16,28,0.17,0.2
3,0,China,Wuhan,81,46.63%,"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",Lancet Infectious Diseases,Shi et. al.,https://reader.elsevier.com/reader/sd/pii/S1473309920300864?token=A0D8E0A815A81A197FBA5FBC028C41D29B7899BFA37779DD83AA14652314A5C8D415DCB92CEEC6704387954EBD8E0864,English,Yes,Observational,12/20/19,2/8/20,50,Top-level,General,Positive only,End-point and active,Both,Both,No,Both,All,Both,50,49.5,11,,,,52%,0%,0%,100%,0%,0%,38%,38%,,,,,,,,,,,,,,26%,15%,12%,10%,11%,5%,9%,7%,4%,16%,73%,37.93,37.93,,59%,42%,6%,19%,9%,9%,,4%,5%,1%,,,,,18.51%,,,,1,8.1,4.7,11.5,1.1,0.8,1.4,,,212.2,112.5,311.9,,,,123.9,111.9,135.9,,32.9,46.2,40.8,11.9,8.3,15.5,,75.4,,47.6,6.4,,,6.5,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.77,,23.2,,0.04,0.05
3,1,China,Wuhan,15,44.94%,"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",Lancet Infectious Diseases,Shi et. al.,https://reader.elsevier.com/reader/sd/pii/S1473309920300864?token=A0D8E0A815A81A197FBA5FBC028C41D29B7899BFA37779DD83AA14652314A5C8D415DCB92CEEC6704387954EBD8E0864,English,Yes,Observational,12/20/19,2/8/20,50,Subgroup,Subclinical,Positive only,End-point and active,Both,Both,No,Both,All,Both,,44.9,9,,,,27.00%,0%,0%,100%,0%,0%,0.00%,0.00%,,,,,,,,,,,,,,27.00%,13%,20%,20%,7%,7%,0%,7%,0%,7%,0.00%,,36.6,,0.00%,0.00%,0.00%,0.00%,0.00%,0%,,0%,0.00%,0%,,,,,100%,0%,0%,0%,1,8,5.5,10.5,1.1,0.8,1.4,,,202.9,135.5,270.3,,,,125.1,111.6,138.6,,,30.8,30.2,9.2,8.6,9.8,,63.7,,6.9,6.4,,,6.5,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,
3,2,China,Wuhan,21,43.82%,"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",Lancet Infectious Diseases,Shi et. al.,https://reader.elsevier.com/reader/sd/pii/S1473309920300864?token=A0D8E0A815A81A197FBA5FBC028C41D29B7899BFA37779DD83AA14652314A5C8D415DCB92CEEC6704387954EBD8E0864,English,Yes,Observational,12/20/19,2/8/20,50,Subgroup,Scans done <= 1 week after symptom onset,Positive only,End-point and active,Both,Both,No,Both,All,Both,,48.8,13,,,,52.00%,0%,0%,100%,0%,0%,38.00%,38.00%,,,,,,,,,,,,,,24.00%,5%,10%,5%,14%,5%,10%,5%,0%,15%,86.00%,,38.1,,71.00%,43.00%,10.00%,14.00%,5.00%,9%,,5.00%,10.00%,5%,,,,,0%,,,,1,7.8,4.2,11.4,1,0.7,1.3,,,213.5,112.7,314.3,,,,126.7,113.3,140.1,,34,50.6,47.7,14.1,9.8,18.4,,68,,61.4,5.2,,,6.9,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,
3,3,China,Wuhan,30,43.82%,"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",Lancet Infectious Diseases,Shi et. al.,https://reader.elsevier.com/reader/sd/pii/S1473309920300864?token=A0D8E0A815A81A197FBA5FBC028C41D29B7899BFA37779DD83AA14652314A5C8D415DCB92CEEC6704387954EBD8E0864,English,Yes,Observational,12/20/19,2/8/20,50,Subgroup,Scans done 1-2 weeks after symptom onset,Positive only,End-point and active,Both,Both,No,Both,All,Both,,52.3,13,,,,67.00%,0%,0%,100%,0%,0%,47.00%,47.00%,,,,,,,,,,,,,,30.00%,23%,10%,10%,10%,7%,10%,10%,10%,20%,90.00%,,38.2,,70.00%,43.00%,7.00%,20.00%,13.00%,5%,,3.00%,7.00%,0%,,,,,0%,,,,1,8.4,4.9,11.9,1.1,0.8,1.4,,,206.8,110.7,302.9,,,,119.6,106.8,132.4,,30.1,48.7,42.7,11.9,8,15.8,,115.4,,71.3,6.8,,,5.8,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.07,
